Itération 14, nodeeco: 7
Itération 13, nodeeco: 6
Itération 12, nodeeco: 8
Itération 11, nodeeco: 7
Itération 10, nodeeco: 7
Itération 9, nodeeco: 7
Itération 8, nodeeco: 3
Itération 7, nodeeco: 4
Itération 6, nodeeco: 3
Itération 5, nodeeco: 2
Itération 4, nodeeco: 1
Itération 3, nodeeco: 1
Itération 2, nodeeco: 1
Itération 1, nodeeco: 0
